NIMI;ALKUPERÄISNIMI;ENSI-ILTA;KUMULATIIVISET KATSOJAT;LEVITTÄJÄ;MAANIMI
Mr. and Mrs. Smith;Mr. and Mrs. Smith;10.6.2005;121 599;FS Film Oy;USA
Salamaseepra;Racing Stripes;10.6.2005;53 009;Nordisk Film Theatrical Distribution Oy;USA
Being Julia;Being Julia;3.6.2005;4 952;FS Film Oy;USA
The Pacifier - Tuttisoturi;The Pacifier;3.6.2005;12 478;The Walt Disney Company Nordic;USA
The Yes Men;The Yes Men;3.6.2005;3 849;Scanbox Finland Oy;USA
Håkan Bråkan & Josef;Håkan Brpkan & Josef;27.5.2005;2 188;FS Film Oy;RUOTSI
Panttivanki;Hostage;27.5.2005;17 215;Nordisk Film Theatrical Distribution Oy;USA
White Noise;White Noise;27.5.2005;3 399;The Walt Disney Company Nordic;USA
Star Wars: Episodi III Sithin kosto;Star Wars: Episode III - Revenge of The Sith;19.5.2005;269 901;FS Film Oy;USA
Boogeyman;Boogeyman;13.5.2005;11 137;Nordisk Film Theatrical Distribution Oy;USA
Steve Zissoun vedenalainen maailma;The Life Aquatic With Steve Zissou;13.5.2005;7 481;The Walt Disney Company Nordic;USA
Takaisin maalle - masjävlar;Masjävlar;13.5.2005;21 563;Sandrew Metronome Dist.;RUOTSI
Kingdom of Heaven - taivas maan päällä;Kingdom of Heaven;4.5.2005;85 231;FS Film Oy;ENGLANTI-USA
Sidottu;The Jacket;29.4.2005;5 113;Nordisk Film Theatrical Distribution Oy;SAKSA-ENGLANTI-USA
xXx2 The Next Level;xXx2 The Next Level;26.4.2005;14 674;FS Film Oy;USA
Bernin ihme;Das Wunder von Bern;22.4.2005;1 334;Kamras Film Group;SAKSA
Hawaii, Oslo;Hawaii, Oslo;22.4.2005;2 281;Scanbox Finland Oy;NORJA
Vaihtolippu;Tur & Retur;22.4.2005;1 502;Kinoscreen Illusion;RUOTSI
Sammakoiden ennustus;La prophetie des grenouilles;15.4.2005;8 915;Cinema Mondo Oy;RANSKA
The Woodsman;The Woodsman;15.4.2005;4 796;Future Film;USA
Tulkki;The Interpreter;15.4.2005;55 344;The Walt Disney Company Nordic;USA
Be Cool;Be Cool;8.4.2005;36 245;FS Film Oy;USA
Miss FBI - aseistettu ja ihana;Miss Congeniality 2: Armed and Fabolous;8.4.2005;19 942;Sandrew Metronome Dist.;USA
Richard Nixonin salamurha;The Assassination of Richard Nixon;8.4.2005;2 601;Nordisk Film Theatrical Distribution Oy;USA
Hide and Seek;Hide & Seek;1.4.2005;27 635;FS Film Oy;USA
Hääheila;The Wedding Date;1.4.2005;7 742;Nordisk Film Theatrical Distribution Oy;USA
Petollinen on ihmissydän;Le Livre de Jérémie;1.4.2005;2 055;Cinema Mondo Oy;RANSKA
Reikä sydämessäni;Ett Hål i mitt hjärta;1.4.2005;705;Sandrew Metronome Dist.;RUOTSI
In Good Company;In Good Company;25.3.2005;12 619;Sandrew Metronome Dist.;USA
The Ring 2;The Ring 2;25.3.2005;72 033;The Walt Disney Company Nordic;USA
Venetsian kauppias;Merchant of Venice;25.3.2005;18 173;Scanbox Finland Oy;USA
Elvis Has Left The Building;Elvis Has Left The Building;18.3.2005;819;Scanbox Finland Oy;USA
Hyökkäys poliisiasemalle;Assault On Precinct 13;18.3.2005;5 126;Nordisk Film Theatrical Distribution Oy;USA
Kello 5 iltapäivällä;À cinq heures de l'après-midi;18.3.2005;1 079;Kamras Film Group;AFGANISTAN
Paimenet;Paimenet;18.3.2005;2 884;FS Film Oy;SUOMI
Robots;Robots;18.3.2005;81 023;FS Film Oy;USA
Hitch - Lemmentohtori;Hitch;11.3.2005;46 517;Nordisk Film Theatrical Distribution Oy;USA
I Heart Huckabees;I Heart Huckabees;11.3.2005;866;Sandrew Metronome Dist.;USA
Million Dollar Baby;Million Dollar Baby;11.3.2005;84 392;FS Film Oy;USA
Niin kuin taivaassa;Så Som i Himmelen;11.3.2005;23 575;FS Film Oy;RUOTSI
Constantine;Constantine;4.3.2005;48 840;Sandrew Metronome Dist.;USA
Finding Neverland - tarinoiden lähteillä;Finding Neverland;4.3.2005;44 960;FS Film Oy;USA
Hotelli Ruanda;Hotel Rwanda;4.3.2005;13 753;Scanbox Finland Oy;ENGLANTI-ITALIA
Sen edestään löytää;Sen edestään löytää;4.3.2005;3 402;FS Film Oy;SUOMI
Hilpeys ja ennakkoluulo;Bride and Prejudice;25.2.2005;1 514;Sandrew Metronome Dist.;ENGLANTI
Honey Baby;Honey Baby;25.2.2005;814;Future Film;SAKSA-SUOMI
Kinsey;Kinsey;25.2.2005;1 953;Nordisk Film Theatrical Distribution Oy;USA
Meri sisälläni;Mar Adentro;25.2.2005;33 081;FS Film Oy;ESPANJA
Spanglish - Käännöskukkasia;Spanglish;25.2.2005;4 545;Nordisk Film Theatrical Distribution Oy;USA
Eläville ja kuolleille;Eläville ja kuolleille;18.2.2005;6 096;Sandrew Metronome Dist.;SUOMI
Nalle Puh ja Möhköfantti;Pooh's Heffalump Movie;18.2.2005;160 810;The Walt Disney Company Nordic;USA
Painajainen perheessä;Meet The Fockers;18.2.2005;88 678;The Walt Disney Company Nordic;USA
Sideways;Sideways;18.2.2005;74 862;FS Film Oy;USA
Garden State;Garden State;11.2.2005;2 502;The Walt Disney Company Nordic;USA
Lentävien tikarien talo;Shi mian mai fu;11.2.2005;15 459;Sandrew Metronome Dist.;HONG KONG
Onnen varjot;Onnen varjot;11.2.2005;80 049;Nordisk Film Theatrical Distribution Oy;SUOMI
The Machinist;El Maquinista;11.2.2005;5 025;Scanbox Finland Oy;ESPANJA
Blade: Trinity;Blade: Trinity;4.2.2005;17 035;FS Film Oy;USA
Closer - Iholla;Closer;4.2.2005;44 151;Nordisk Film Theatrical Distribution Oy;USA
Kanelia ja lihapullia;Politiki kouzina;4.2.2005;4 063;Kamras Film Group;KREIKKA
Lemony Snicketin surkeiden sattumusten sarja;Lemony Snicket's A Series of Unfortunate Events;4.2.2005;52 047;The Walt Disney Company Nordic;USA
Vera Drake;Vera Drake;4.2.2005;7 578;Cinema Mondo Oy;ENGLANTI
Herra Ibrahim ja koraanin kukkaset;Monsieur Ibrahim et les fleurs du Coran;28.1.2005;8 878;Cinema Mondo Oy;RANSKA
Kuuban valloittajat;Kuuban valloittajat;28.1.2005;1 544;FS Film Oy;SUOMI
Lentäjä;Aviator;28.1.2005;81 405;Nordisk Film Theatrical Distribution Oy;USA
Perikato;Der Untergang;28.1.2005;70 517;Sandrew Metronome Dist.;SAKSA
Saanko luvan;Shall We Dance;28.1.2005;27 422;The Walt Disney Company Nordic;USA
Team America World Police;Team America World Police;28.1.2005;5 051;The Walt Disney Company Nordic;USA
Ruista ranteessa;Armbryterskan från Ensamheten;26.1.2005;76;FS Film Oy;RUOTSI
Asema 49;Ladder 49;21.1.2005;3 798;The Walt Disney Company Nordic;USA
Ennen routaa;Innan frosten;21.1.2005;11 009;FS Film Oy;RUOTSI
Kahvia ja tupakkaa;Coffee and Cigarettes;21.1.2005;5 749;Cinema Mondo Oy;USA
Meren sininen;Deep Blue;21.1.2005;7 941;Bio Rex Cinemas;ENGLANTI
Pitkät kihlajaiset;Un Long Dimanche de Fiancailles;21.1.2005;39 573;Sandrew Metronome Dist.;RANSKA
Ray;Ray;21.1.2005;10 550;Finnkino / United International Pictures;USA
Emma ja Daniel - Kohtaaminen;Emma Och Daniel - Mötet;14.1.2005;1 992;Kinoscreen Illusion;RUOTSI
Paha maa;Paha maa;14.1.2005;172 016;The Walt Disney Company Nordic;SUOMI
After the Sunset - keikka Bahamalla;After the Sunset;7.1.2005;23 055;FS Film Oy;USA
Alfie;Alfie;7.1.2005;10 185;The Walt Disney Company Nordic;USA
Kauna;The Grudge;7.1.2005;80 710;Nordisk Film Theatrical Distribution Oy;USA
Tarina itkevästä kamelista;Die Geschichte vom weinenden Kamel;7.1.2005;2 635;Kamras Film Group;SAKSA
Birth;Birth;31.12.2004;1 559;FS Film Oy;USA
National Treasure - Kansallisaarre;National Treasure;31.12.2004;110 546;The Walt Disney Company Nordic;USA
Andrew Lloyd Webberin Oopperan kummitus;PHANTOM OF THE OPERA;25.12.2004;48 269;Sandrew Metronome Dist.;USA
Keisarikunta;Harbour Brothers;25.12.2004;117 693;FS Film Oy;SUOMI
Napola - Hitlerin eliittikoulu;Napola;25.12.2004;1 805;Kamras Film Group;SAKSA
Prinsessa päiväkirjat 2;Princess Diaries: The Royal Engagement;25.12.2004;22 032;The Walt Disney Company Nordic;USA
OCEAN´S TWELVE;OCEAN´S TWELVE;17.12.2004;154 834;Sandrew Metronome Dist.;USA
Pelikaanimies;Pelikaanimies;17.12.2004;103 899;The Walt Disney Company Nordic;SUOMI
Saw;Saw;17.12.2004;15 672;Scanbox / Finnkino;USA
Furi ja maaginen metsä;El Bosque animado;10.12.2004;1 119;Future Film;ESPANJA
Hain tarina;Shark Tale;10.12.2004;84 762;The Walt Disney Company Nordic;USA
Old Boy;Old Boy;10.12.2004;2 317;Future Film;KOREA
Saved;Saved;10.12.2004;1 546;Finnkino Oy;USA
Unohdetut;The Forgotten;10.12.2004;12 191;FS Film Oy;USA
Aika rakkauden;NOEL;3.12.2004;2 470;Scanbox / Finnkino;USA
Bridget Jones: Elämä jatkuu;Bridget Jones: The Edge of Reason;3.12.2004;184 604;The Walt Disney Company Nordic;USA
Cellular;Cellular;3.12.2004;6 651;FS Film Oy;USA
Napapiirin pikajuna;THE POLAR EXPRESS;3.12.2004;44 538;Sandrew Metronome Dist.;USA
Aleksanteri;Alexander;26.11.2004;73 659;Nordisk Film Theatrical Distribution Oy;USA
Isän paluu;Vozvrashcheniye;26.11.2004;491;Finnkino Oy;VENÄJÄ
Turpa kiinni;Tais-toi!;26.11.2004;698;Future Film;RANSKA
2046;2046;26.11.2004;20 168;Cinema Mondo Oy;RANSKA-HONGKONG
Huomaa minut;Comme une image;19.11.2004;6 886;Kamras Film Group;RANSKA
Infernal Affairs III;Wu jian dao 3;19.11.2004;251;Cinema Mondo Oy;HONG KONG-RANSKA-KIINA
Koston liekki;Man on Fire;19.11.2004;12 110;FS Film Oy;USA
Uutisankkuri: Ron Burgundyn legenda;Anchorman: The Legend of Ron Burgundy;19.11.2004;1 377;The Walt Disney Company Nordic;USA
Vaietut salaisuudet;Mélyen örzött titkok;19.11.2004;161;The Walt Disney Company Nordic;UNKARI
WICKER PARK;WICKER PARK;19.11.2004;2 638;Scanbox / Finnkino;USA
Aprilin juhlat;Pieces of April;12.11.2004;551;Finnkino Oy;USA
CATWOMAN;CATWOMAN;12.11.2004;3 552;Sandrew Metronome Dist.;USA
De-Lovely;De-Lovely;12.11.2004;4 354;FS Film Oy;USA
Ihmeperhe;The Incredibles;12.11.2004;164 516;The Walt Disney Company Nordic;USA
RIOT ON;RIOT ON;12.11.2004;2 032;Sandrew Metronome Dist.;SUOMI
Sky Captain and The World of Tomorrow;Sky Captain and The World of Tomorrow;12.11.2004;19 127;Scanbox / Finnkino;USA
White Chicks;White Chicks;12.11.2004;6 041;FS Film Oy;USA
Bad Santa;Bad Santa;5.11.2004;14 245;Scanbox / Finnkino;USA
Keittiötarinoita;Salmer fra kjøkkenet;5.11.2004;2 037;FS Film Oy;NORJA
Manaaja: Alku;Exorcist: The Beginning;5.11.2004;14 267;Nordisk Film Theatrical Distribution Oy;USA
Manchurian kandidaatti;Manchurian Candidate;5.11.2004;7 893;The Walt Disney Company Nordic;USA
8½;8½;5.11.2004;3 924;Cinema Mondo Oy;ITALIA
Alien vs. Predator;Alien vs. Predator;29.10.2004;29 897;FS Film Oy;USA
OPEN WATER;OPEN WATER;29.10.2004;2 423;Scanbox / Finnkino;USA
Wimbledon;Wimbledon;29.10.2004;15 205;The Walt Disney Company Nordic;ENGLANTI
V.O.I.T.K.A. - metsän veljet;V.O.I.T.K.A. - metsän veljet;29.10.2004;393;FS Film Oy;SUOMI
Dodgeball: A True Underdog Story;Dodgeball: A True Underdog Story;22.10.2004;16 250;FS Film Oy;USA
Hellä suudelma;Ae Fond Kiss;22.10.2004;1 302;FS Film Oy;ENGLANTI
Infernal Affairs II;Wu jian dao 2;22.10.2004;425;Cinema Mondo Oy;HONG KONG-RANSKA-KIINA
Kissojen valtakunta;Neko no ongaeshi;22.10.2004;20 246;Cinema Mondo Oy;JAPANI
Luther;Luther;22.10.2004;13 660;The Walt Disney Company Nordic;SAKSA
Rakkautta ennen auringonlaskua;BEFORE SUNSET;22.10.2004;25 518;Sandrew Metronome Dist.;USA
Collateral - Väärä aika väärä paikka;Collateral;15.10.2004;91 097;The Walt Disney Company Nordic;USA
Kukkia ja sidontaa;Kukkia ja sidontaa;15.10.2004;24 193;Nordisk Film Theatrical Distribution Oy;SUOMI
Lumottu Ella;Ella Enchanted;15.10.2004;1 857;Nordisk Film Theatrical Distribution Oy;USA
Melancholian 3 huonetta;Melancholian 3 huonetta;8.10.2004;7 353;Finnkino Oy;SUOMI
Populäärimusiikkia Vittulajänkältä;Populärmusik från Vittula;8.10.2004;98 693;FS Film Oy;RUOTSI
Resident Evil: Apocalypse;Resident Evil: Apocalypse;8.10.2004;22 999;Nordisk Film Theatrical Distribution Oy;USA
Tiikeriveljekset;Two Brothers;8.10.2004;25 887;The Walt Disney Company Nordic;USA
Tintti ja minä;Tintin et moi;8.10.2004;806;Cinema Mondo Oy;TANSKA
Football Factory;The Football Factory;1.10.2004;1 630;Columbia Tristar Egmont;ENGLANTI
HIP, HEI, HUTSU!;HIP, HIP, HORA!;1.10.2004;30 351;Sandrew Metronome Dist.;RUOTSI
Medusan isku;Bourne Supremacy;1.10.2004;59 002;The Walt Disney Company Nordic;USA
Nuori Adam;Young Adam;1.10.2004;3 274;Cinema Mondo Oy;ENGLANTI
Oven takana;The Door in the Floor;1.10.2004;3 125;Nordisk Film Theatrical Distribution Oy;USA
Suoraan seinään;Gegen die Wand;1.10.2004;3 432;Future Film;SAKSA
ZATOICHI- Sokea samurai;ZATOICHI;1.10.2004;2 178;Sandrew Metronome Dist.;JAPANI
Huono kasvatus;LA MALA EDUCATION;24.9.2004;54 974;Sandrew Metronome Dist.;ESPANJA
I, Robot;I, Robot;24.9.2004;49 382;FS Film Oy;USA
Lehmäjengi;Home on the Range;24.9.2004;165 270;The Walt Disney Company Nordic;USA
Maria Full of Grace;Maria Full of Grace;24.9.2004;2 995;Scanbox / Finnkino;USA
Kuoropojat;Les Choristes;17.9.2004;18 454;Kamras Film Group;RANSKA
Lapsia ja Aikuisia - Kuinka niitä tehdään?;Producing Adults;17.9.2004;54 934;FS Film Oy;SUOMI
Terminaali;The Terminal;17.9.2004;47 838;The Walt Disney Company Nordic;USA
Intiimit tunnustukset;Confidences trop intimes;10.9.2004;2 443;Cinema Mondo Oy;RANSKA
Kylä;The Village;10.9.2004;76 436;The Walt Disney Company Nordic;USA
Sikojen vallankumous;SIGADE REVOLUTSIOON;10.9.2004;407;Sandrew Metronome Dist.;VIRO
SUPER SIZE ME;SUPER SIZE ME;10.9.2004;14 641;Sandrew Metronome Dist.;USA
Uuno Turhapuro - This is My Life;Uuno Turhapuro - This is my life;10.9.2004;145 348;Finnkino Oy;SUOMI
Alexandran suunnitelma;Alenxandra's Project;3.9.2004;326;Future Film;AUSTRALIA
Moottoripyöräpäiväkirja;MOTORCYCLE DIARIES;3.9.2004;18 469;Sandrew Metronome Dist.;ARGENTIINA
Shrek 2;Shrek 2;3.9.2004;208 760;Finnkino / United International Pictures;USA
Juoksuhaudantie;Juoksuhaudantie;27.8.2004;101 728;FS Film Oy;SUOMI
Katseet ikkunassa;La Finestra di fronte;27.8.2004;2 494;Future Film;ITALIA
Mean Girls;Mean Girls;27.8.2004;21 390;The Walt Disney Company Nordic;USA
Suden aika;Le Temps du loup;27.8.2004;101;Kamras Film Group;RANSKA
Karvinen;Garfield;20.8.2004;124 421;FS Film Oy;USA
Kuningas Arthur;King Arthur;20.8.2004;100 023;The Walt Disney Company Nordic;USA
Ystäväni Henry;Ystäväni Henry;20.8.2004;10 650;FS Film Oy;SUOMI
Riddickin aikakirja;Chronicles of Riddick;13.8.2004;16 845;The Walt Disney Company Nordic;USA
Vetovoiman lait;Laws of Attraction;13.8.2004;2 822;Nordisk Film Theatrical Distribution Oy;USA
Fahrenheit 9/11;Fahrenheit 9/11;6.8.2004;83 711;Scanbox / Finnkino;USA
Himon anatomia;Anatomie de l'enfer;6.8.2004;2 250;Cinema Mondo Oy;RANSKA
HARRY POTTER JA AZKABANIN VANKI;Harry Potter and the Prisoner of Azkaban;4.8.2004;343 412;Sandrew Metronome Dist.;USA
GODSEND;GODSEND;30.7.2004;2 109;Scanbox / Finnkino;USA
Kuolleiden aamunkoitto;Dawn of The Dead;30.7.2004;21 354;Nordisk Film Theatrical Distribution Oy;USA
Kolmetoista ja risat;13 going on 30;23.7.2004;20 191;FS Film Oy;USA
Vares;Vares;23.7.2004;201 134;The Walt Disney Company Nordic;SUOMI
Kasvukipuja;Raising Helen;16.7.2004;2 848;The Walt Disney Company Nordic;USA
Ruusujen katu;Rosenstrasse;16.7.2004;1 445;Kamras Film Group;SAKSA
Stepfordin naiset;Stepford Wives;16.7.2004;28 169;The Walt Disney Company Nordic;USA
The Dreamers;The Dreamers;16.7.2004;2 081;Finnkino / United International Pictures;USA
Sabina Spielreinin tarina;Prendimi l'anima / The Soul Keeper;9.7.2004;3 101;Kamras Film Group;RANSKA
Teidän jälkeenne;Après vous;9.7.2004;7 827;Cinema Mondo Oy;RANSKA
Spiderman 2 - Hämähäkkimies;Spider-Man 2;7.7.2004;229 212;Nordisk Film Theatrical Distribution Oy;USA
Ihania päiviä;Wonderful Days;2.7.2004;2 065;Future Film;KOREA
Kehystetty rakkaus;KOMMER DU MED MIG DÅ;2.7.2004;251;Sandrew Metronome Dist.;RUOTSI
Ladykillers;The Ladykillers;2.7.2004;23 416;The Walt Disney Company Nordic;USA
Maailman ympäri 80 päivässä;Around the World in 80 Days;27.6.2004;50 902;Nordisk Film Theatrical Distribution Oy;USA
Salainen ikkuna;The Secret Window;18.6.2004;12 694;Columbia Tristar Egmont;USA
Asuntoloukku;Duplex;11.6.2004;8 032;Columbia Tristar Egmont;USA
Hellboy;Hellboy;11.6.2004;17 897;FS Film Oy;USA
Katso, katso kultaseni;Shouf shouf habibi!;11.6.2004;801;Kamras Film Group;ALANKOMAAT
Mindhunters;Mindhunters;4.6.2004;20 324;Columbia Tristar Egmont;USA
The Day After Tomorrow;The Day After Tomorrow;28.5.2004;229 135;FS Film Oy;USA
Honey;Honey;21.5.2004;6 706;The Walt Disney Company Nordic;USA
Kuka pelkää pimeää?;In The Cut;21.5.2004;4 903;FS Film Oy;USA
Metallica: Some Kind of Monster;Metallica: Some Kind of Monster;21.5.2004;4 602;Bio Rex Cinemas;USA
Perhosvaikutus;The Butterfly Effect;21.5.2004;13 108;Scanbox / Finnkino;USA
Tyttö tuollainen;Jersey Girl;21.5.2004;17 840;Columbia Tristar Egmont;USA
Armoton maa;Open Range;14.5.2004;3 718;Columbia Tristar Egmont;USA
Itämeren arvoitus;BALTIC STORM;14.5.2004;1 331;Scanbox / Finnkino;SAKSA
Miracle;Miracle;14.5.2004;701;The Walt Disney Company Nordic;USA
Troija;TROY;14.5.2004;179 930;Sandrew Metronome Dist.;USA
Minä ja Prinssi;The Prince and Me;7.5.2004;6 715;Columbia Tristar Egmont;USA
Tyttö ja helmikorvakoru;Girl with a Pearl Earring;7.5.2004;39 506;FS Film Oy;USA
Van Helsing;Van Helsing;7.5.2004;71 972;The Walt Disney Company Nordic;USA
Kadoksissa;The Missing;23.4.2004;2 465;FS Film Oy;USA
Kill Bill 2;Kill Bill 2;23.4.2004;112 907;Columbia Tristar Egmont;USA
Leo;Leo;23.4.2004;443;The Walt Disney Company Nordic;USA
Minä en pekää;Io non ho paura;23.4.2004;1 768;FS Film Oy;ITALIA
Tyttären talossa;The Mother;23.4.2004;5 594;Future Film;ENGLANTI
Hidalgo;Hidalgo;20.4.2004;6 546;The Walt Disney Company Nordic;USA
Nathalie;Nathalie;16.4.2004;5 894;Cinema Mondo Oy;RANSKA
Starsky & Hutch;Starsky & Hutch;16.4.2004;46 163;The Walt Disney Company Nordic;USA
Wonderland Murders;Wonderland;16.4.2004;1 440;Columbia Tristar Egmont;USA
Aina eka kerta;Fifty First Dates;9.4.2004;13 626;Columbia Tristar Egmont;USA
Joensuun Elli;Elli;9.4.2004;4 905;FS Film Oy;SUOMI
Levoton Sussie;SMALA SUSSIE;9.4.2004;1 273;Sandrew Metronome Dist.;RUOTSI
Marie-Jon kaksi rakastajaa;Marie-Jo et ses 2 amours;9.4.2004;1 608;Kamras Film Group;RANSKA
Runaway Jury;Runaway Jury;9.4.2004;18 094;FS Film Oy;USA
School of Rock;School of Rock;9.4.2004;33 641;The Walt Disney Company Nordic;USA
SCOOBY DOO 2: Monsterit vapaalla;SCOOBY DOO 2: Monsters Unleashed;9.4.2004;48 865;Sandrew Metronome Dist.;USA
Aika ei anna armoa;OUT OF TIME;2.4.2004;2 236;Sandrew Metronome Dist.;USA
Gothika;Gothika;2.4.2004;33 321;Columbia Tristar Egmont;USA
Katti;Cat In The Hat;2.4.2004;6 833;The Walt Disney Company Nordic;USA
Lilla jönssonligan på kollo;Lilla jönssonligan på kollo;2.4.2004;2 457;FS Film Oy;RUOTSI
Minkä taakseen jättää;Om jag vänder mig om;2.4.2004;7 168;Cinema Mondo Oy;RUOTSI
Sodan oppitunnit;The Fog of War;2.4.2004;2 405;Bio Rex Cinemas;USA
Villi tusina;Cheaper by the Dozen;2.4.2004;14 450;FS Film Oy;USA
Työväenluokka;Työväenluokka;26.3.2004;1 082;FS Film Oy;SUOMI
The Passion of the Christ;The Passion of the Christ;24.3.2004;89 749;Scanbox / Finnkino;USA
Stuck on You;Stuck On You;20.3.2004;12 628;FS Film Oy;USA
Big Fish;Big Fish;19.3.2004;61 470;Nordisk Film Theatrical Distribution Oy;USA
Kolmas aalto;DEN TREDJE VÅGEN;19.3.2004;3 249;Sandrew Metronome Dist.;RUOTSI
Peter Pan;Peter Pan;19.3.2004;41 701;FS Film Oy;USA
Väritetty totuus;Shattered Glass;19.3.2004;1 719;Scanbox / Finnkino;USA
Tahraton mieli;ETERNAL SUNSHINE OF THE SPOTTLESS MIND;13.3.2004;36 259;Sandrew Metronome Dist.;USA
Blueberry;Blueberry;12.3.2004;11 860;Cinema Mondo Oy;RANSKA
Intermission;Intermission;12.3.2004;5 565;Scanbox / Finnkino;IRLANTI
Monster - Aileen Wuornos;Monster;12.3.2004;42 641;Scanbox / Finnkino;USA
Polly tuli kuvioihin;Along Came Polly;12.3.2004;29 356;The Walt Disney Company Nordic;USA
Cabin Fever;Cabin Fever;5.3.2004;5 012;Columbia Tristar Egmont;USA
Etulinjan edessä;Framom främsta linjen;5.3.2004;94 129;The Walt Disney Company Nordic;SUOMI
Jotakin annettavaa;SOMETHING´S GOTTA GIVE;5.3.2004;51 855;Sandrew Metronome Dist.;USA
Jumalan Morsian;A Bride of The Seventh Heaven;5.3.2004;1 103;FS Film Oy;SUOMI
Kummituskartano;The Haunted Mansion;27.2.2004;29 497;The Walt Disney Company Nordic;USA
Mona Lisa Smile;Mona Lisa Smile;27.2.2004;39 194;FS Film Oy;USA
21 GRAMMAA;21 GRAMS;27.2.2004;24 098;Sandrew Metronome Dist.;USA
In America;In America;20.2.2004;2 122;FS Film Oy;USA
Päämääränä Cold Mountain;Cold Mountain;20.2.2004;20 968;The Walt Disney Company Nordic;USA
Pako viidakkoon;Welcome to The Jungle;18.2.2004;10 829;Columbia Tristar Egmont;USA
BEYOND RE-ANIMATOR;BEYOND RE-ANIMATOR;13.2.2004;55;Scanbox / Finnkino;USA
Karhuveljeni Koda;Brother Bear;13.2.2004;270 086;The Walt Disney Company Nordic;USA
Koirankynnen leikkaaja;Koirankynnen leikkaaja;13.2.2004;199 634;The Walt Disney Company Nordic;SUOMI
LOST IN TRANSLATION;LOST IN TRANSLATION;13.2.2004;105 808;Sandrew Metronome Dist.;USA
Paycheck;Paycheck;13.2.2004;13 241;The Walt Disney Company Nordic;USA
Rakasta jos uskallat;Jeux d'enfants;13.2.2004;2 871;Future Film;RANSKA
Isältä Pojalle;Father to Son;6.2.2004;3 390;FS Film Oy;SUOMI
Maanantain auringossa;Los Lunes al sol;6.2.2004;3 238;Scanbox / Finnkino;ESPANJA
Salaiset leikit;Choses secrètes;6.2.2004;370;Future Film;RANSKA
Scary Movie 3;Scary Movie 3;6.2.2004;64 139;FS Film Oy;USA
Viisi vuodenaikaa;Bom yeoreum gaeul gyeoul geurigo bom;6.2.2004;9 248;Cinema Mondo Oy;KOREA
Elephant;Elephant;30.1.2004;13 722;Cinema Mondo Oy;USA
Uptown Girls;Uptown Girls;30.1.2004;1 402;FS Film Oy;USA
Viimeinen samurai;THE LAST SAMURAI;30.1.2004;94 615;Sandrew Metronome Dist.;USA
Kultainen medaljonki;The Medallion;23.1.2004;3 459;Columbia Tristar Egmont;HONG KONG
Ned Kelly;Ned Kelly;23.1.2004;814;The Walt Disney Company Nordic;AUSTRALIA
Nytpä tahdon olla mä;Être et avoir;23.1.2004;5 709;Cinema Mondo Oy;RANSKA
The Station Agent;The Station Agent;23.1.2004;10 715;Scanbox / Finnkino;USA
Zero Day;Zero Day;23.1.2004;791;Future Film;USA
Levottomat 3;Levottomat 3;16.1.2004;133 767;The Walt Disney Company Nordic;SUOMI
DOWN WITH LOVE;DOWN WITH LOVE;9.1.2004;10 827;FS Film Oy;USA
Teksasin moottorisahamurhat;TEXAS CHAINSAW MASSACRE;9.1.2004;17 766;Sandrew Metronome Dist.;USA
Pelimiehet;MATCHSTICK MEN;2.1.2004;11 026;Sandrew Metronome Dist.;USA
