NIMI;ALKUPERÄISNIMI;ENSI-ILTA;KUMULATIIVISET KATSOJAT;LEVITTÄJÄ;MAANIMI
Poski poskea vasten;Mittsommernachtstango;18.10.2013;1 596;Pirkanmaan Elokuvakeskus;SAKSA-SUOMI
Turbo;Turbo;18.10.2013;71 682;FS Film Oy;USA
Knucklebonehead;Knucklebonehead;11.10.2013;430;Black Lion Independent;SUOMI
Machete Kills;Machete Kills;11.10.2013;8 991;FS Film Oy;USA
On My Way;Elle s'en va;11.10.2013;5 146;Scanbox Finland Oy;RANSKA
Promised Land;Promised Land;11.10.2013;3 928;Atlantic Film Oy;USA
Mieletön Elokuu;Mieletön Elokuu;4.10.2013;28 592;Nordisk Film Theatrical Distribution Oy;SUOMI
Oli aikakin;About Time;4.10.2013;19 091;Finnkino Oy;ENGLANTI
Pioneer sukellus meren syvyyksiin;Pioneer;4.10.2013;759;Bio Rex Cinemas;NORJA-SUOMI
Runner Runner;Runner Runner;4.10.2013;14 853;FS Film Oy;USA
The Grandmaster;The Grandmaster;4.10.2013;8 093;Cinema Mondo Oy;HONGKONG-KIINA
Lentsikat;Planes;27.9.2013;158 749;The Walt Disney Company Nordic;USA
Mud;Mud;27.9.2013;3 767;Scanbox Finland Oy;USA
Oppipoika;Lärjungen;27.9.2013;13 833;Långfilm Productions Finland;SUOMI
Selänne;Selänne;27.9.2013;130 530;FS Film Oy;SUOMI
2 Guns;2 Guns;27.9.2013;22 614;The Walt Disney Company Nordic;USA
Jobs;Jobs;20.9.2013;16 447;FS Film Oy;USA
Silmäterä;Silmäterä;20.9.2013;2 879;Atlantic Film Oy;SUOMI
The Heat;The Heat;20.9.2013;21 651;FS Film Oy;USA
Muisteja;Muisteja;13.9.2013;4 827;Pirkanmaan Elokuvakeskus;SUOMI
Rahalla saa - Luksuselämää;Snabba cash - Livet deluxe;13.9.2013;2 613;Bio Rex Cinemas;RUOTSI
Rush;Rush;13.9.2013;29 613;Future Film;USA
Millerit;We’re the Millers;6.9.2013;100 237;FS Film Oy;USA
Perfect Mothers;Adore;6.9.2013;4 123;Atlantic Film Oy;AUSTRALIA
Riddick;Riddick;6.9.2013;17 424;Future Film;USA
Smurffit 2;Smurfs 2;6.9.2013;116 429;The Walt Disney Company Nordic;USA
Tumman veden päällä;Tumman veden päällä;6.9.2013;87 298;Nordisk Film Theatrical Distribution Oy;SUOMI
Blue Jasmine;Blue Jasmine;30.8.2013;41 033;Scanbox Finland Oy;USA
Blue Jasmine(poista);Blue Jasmine(poista);30.8.2013;0;Finnkino Oy;USA
One Direction:This is us;One Direction:This is us;30.8.2013;18 678;The Walt Disney Company Nordic;USA
