Paikkakunta;Teatterinimi;Salit;Omistaja;Paikat;Osoite
Pietarsaari;KINOCITY;City 2;Bio Rex Cinemas Oy;126;Perämiehenkatu 7, 68600 Pietarsaari
Pomarkku;KINO HAKALINNA;Kino Hakalinna;?;64;Vanhatie 25, 29630 Pomarkku
Pori;PROMENADI;Promenadi 1;Finnkino Oy;241;Yrjönkatu 17, 28100 Pori
Pori;PROMENADI;Promenadi 2;Finnkino Oy;118;Yrjönkatu 17, 28100 Pori
Pori;PROMENADI;Promenadi 3;Finnkino Oy;76;Yrjönkatu 17, 28100 Pori
Pori;PROMENADI;Promenadi 4;Finnkino Oy;76;Yrjönkatu 17, 28100 Pori
Pori;PROMENADI;Promenadi 5;Finnkino Oy;145;Yrjönkatu 17, 28100 Pori
Porvoo;BIO REX PORVOO;Bio Rex 1;Rex Digital Cinema Ab;261;Läntinen Aleksanterinkatu 1, 06100 Porvoo
Porvoo;BIO REX PORVOO;Bio Rex 2;Rex Digital Cinema Ab;154;Läntinen Aleksanterinkatu 1, 06100 Porvoo
Porvoo;BIO REX PORVOO;Bio Rex 3;Rex Digital Cinema Ab;84;Läntinen Aleksanterinkatu 1, 06100 Porvoo
Porvoo;BIO REX PORVOO;Bio Rex 4;Rex Digital Cinema Ab;50;Läntinen Aleksanterinkatu 1, 06100 Porvoo
Puolanka;PALJAKKA-KINO;Paljakka-Kino;Puolangan kunta;108;Paljakkatalo, 89140 Kotila
Pyhäjärvi;PYHÄSALMEN VPK ELOKUVAT;Pyhäsalmen Vpk Elokuvat;Pyhäsalmen VPK;108;Palotie 4, 86800 Pyhäsalmi 
Raasepori;BIO PALLAS;Bio Pallas;?;248;Nils Grabbenkatu 4, 10300 Raasepori
Raasepori;BIO FORUM;Bio Forum;Ab Bio Forum Oy;104;Helene Schjerfbeckin katu 5, 10600 Tammisaari
Rauma;ISO-HANNU;Iso-Hannu 1;Kinorauma Oy;121;Savilankatu 4, 26100 Rauma
Rauma;ISO-HANNU;Iso-Hannu 2;Kinorauma Oy;63;Savilankatu 4, 26100 Rauma
Rauma;ISO-HANNU;Iso-Hannu 3;Kinorauma Oy;22;Savilankatu 4, 26100 Rauma
Riihimäki;GILDA;Gilda 1;Riihi-Gildat Oy;150;Keskuskatu 8, 11100 Riihimäki
Riihimäki;GILDA;Gilda 2;Riihi-Gildat Oy;68;Keskuskatu 8, 11100 Riihimäki
Riihimäki;KINO SAMPO;Kino Sampo;Elokuvakulttuuriyhdistys;145;Suokatu 9, 11130 Riihimäki
Rovaniemi;MAXIM;Maxim 1;Bio Rex Cinemas Oy;168;Pekankatu 12, 96100 Rovaniemi
Rovaniemi;MAXIM;Maxim 2;Bio Rex Cinemas Oy;46;Pekankatu 12, 96100 Rovaniemi
Rovaniemi;MAXIM;Maxim 3;Bio Rex Cinemas Oy;57;Pekankatu 12, 96100 Rovaniemi
Rovaniemi;MAXIM;Maxim 4;Bio Rex Cinemas Oy;51;Pekankatu 12, 96100 Rovaniemi
